Type:,Filename:,Part:,Our Vals:,Notes:
FP,DIODESINCORPORATED_FZT758TC,FZT658,400,Digikey parts: {'FZT758TA': ['400']}
FP,DIODESINCORPORATED_FZT758TC,FZT758,400,Digikey parts: {'FZT758TA': ['400']}
FP,DIODESINCORPORATED_ZTX603STZ,ZTX602,60,Digikey parts: {'ZTX603': ['80']}
FP,DIODESINCORPORATED_ZTX603STZ,ZTX602,80,Digikey parts: {'ZTX603': ['80']}
FP,DIODESINCORPORATED_ZTX603STZ,ZTX603,60,Digikey vals: ['80']
FP,DIODESINCORPORATED_ZTX776,ZTX755,200,Digikey parts: {'ZTX776': ['200']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,AP02001,100,Digikey parts: {'ZXTN19100CGTA': ['100']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,AP02002,100,Digikey parts: {'ZXTN19100CGTA': ['100']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,ZXTN19,100,Digikey parts: {'ZXTN19100CGTA': ['100']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,ZXTN19100C,100,Digikey parts: {'ZXTN19100CGTA': ['100']}
FP,DIODESINCORPORATED_ZXTN19100CGTA,ZXTN19100CG,100,Digikey parts: {'ZXTN19100CGTA': ['100']}
FP,DIODESINCORPORATED_ZXTP23140BFHTA,ZXTP23140BFH,140,Digikey parts: {'ZXTP23140BFHTA': ['140']}
FP,DIODESINCORPORATED_ZXTP26020DMFTA,ZXTP26020DMF,20,Digikey parts: {'ZXTP26020DMFTA': ['20']}
FP,DIODESINCORPORATED_ZXTP718MATA,ZXTP718MA,20,Digikey parts: {'ZXTP718MATA': ['20']}
FP,DIODESINCORPORATED_ZXTP718MATA,ZXTP718MATC,20,Digikey parts: {'ZXTP718MATA': ['20']}
FP,DIODS13249-1,BC807,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC807,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC808,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC808,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC817,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC817,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC817-16,25,Digikey vals: ['45']
FP,DIODS13249-1,BC817-25,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC817-25,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC817-40,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC817-40,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC818,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC818,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC818-16,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC818-16,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC818-25,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC818-25,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC818-40,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC818-40,45,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC81840,25,Digikey parts: {'BC817-16': ['45']}
FP,DIODS13249-1,BC81840,45,Digikey parts: {'BC817-16': ['45']}
FP,MICROCOMMERCIALCO_MPSA92AP,MPSA92,300,Digikey parts: {'MPSA92-AP': ['300']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,100,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,220,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,40,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,60,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29,80,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,100,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,220,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,40,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,60,Digikey parts: {'TIP29B-BP': ['80']}
FP,MICROCOMMERCIALCO_TIP29ABP,TIP29A,80,Digikey parts: {'TIP29B-BP': ['80']}
