Type:,Filename:,Our Vals:,Notes:,Discrepancy Type:,Discrepancy Notes:,Annotator:
FP,ONSEMICONDUCTOR_MC33274ADTBR2G,8.6 mA,Gold vals: [Quantity('2.15 mA')],Invalid value.,,Bot
FN,ONSEMICONDUCTOR_MC33202DR2G,900 uA,Entity vals: [Quantity('1.8 mA')],Missing value.,,Bot
FP,ONSEMICONDUCTOR_MC33202DR2G,1.8 mA,Gold vals: [Quantity('900 uA')],Invalid value.,,Bot
FN,ONSEMICONDUCTOR_MC33078DR2G,8.4 mA,Entity vals: [Quantity('4.1 mA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_LM358DMR2G,700 uA,Entity vals: [Quantity('1.2 mA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_LM358DMR2G,1.5 mA,Entity vals: [Quantity('1.2 mA')],Missing value.,,Bot
FP,ONSEMICONDUCTOR_LM358DMR2G,1.2 mA,"Gold vals: [Quantity('700 uA'), Quantity('1.5 mA')]",Invalid value.,,Bot
FN,ONSEMICONDUCTOR_LM301ADR2G,1.2 mA,Entity vals: [Quantity('1.8 mA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_LM2904DMR2G,700 uA,Entity vals: [Quantity('1.2 mA')],Missing value.,,Bot
FN,ONSEMICONDUCTOR_LM2904DMR2G,1.5 mA,Entity vals: [Quantity('1.2 mA')],Missing value.,,Bot
FP,ONSEMICONDUCTOR_LM2904DMR2G,1.2 mA,"Gold vals: [Quantity('700 uA'), Quantity('1.5 mA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX9005EUA,375 uA,Entity vals: [Quantity('340 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX9005EUA,410 uA,Entity vals: [Quantity('340 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX9005EUA,450 uA,Entity vals: [Quantity('340 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX494CSD,135 uA,Entity vals: [Quantity('150 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4486ASAT,2.2 mA,Entity vals: [Quantity('1.9 mA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4483AUD,45 uA,Entity vals: [Quantity('50 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4475ASAT,2.5 mA,Entity vals: [Quantity('2.2 mA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4471ESAT,2 uA,Entity vals: [Quantity('750 nA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4471ESAT,1 uA,Entity vals: [Quantity('750 nA')],Missing value.,,Bot
FP,MAXIMINTEGRATED_MAX4471ESAT,750 nA,"Gold vals: [Quantity('2 uA'), Quantity('1 uA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX44248AUAT,100 uA,Entity vals: [Quantity('90 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4322ESAT,725 uA,Entity vals: [Quantity('650 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4282EUA,355 uA,Entity vals: [Quantity('320 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4282EUA,330 uA,Entity vals: [Quantity('320 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4282EUA,290 uA,Entity vals: [Quantity('320 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4282EUA,300 uA,Entity vals: [Quantity('320 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4246ASAT,375 uA,Entity vals: [Quantity('320 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4242EUAT,14 uA,Entity vals: [Quantity('10 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4232AUAT,1.2 mA,Entity vals: [Quantity('1.1 mA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4227ESA,350 uA,Entity vals: [Quantity('6 mA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4076EUKT,45 uA,Entity vals: [Quantity('40 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4076EUKT,34 uA,Entity vals: [Quantity('40 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4076EUKT,37 uA,Entity vals: [Quantity('40 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4042ESAT,14 uA,Entity vals: [Quantity('40 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4042ESAT,10 uA,Entity vals: [Quantity('40 uA')],Missing value.,,Bot
FP,MAXIMINTEGRATED_MAX4042ESAT,40 uA,"Gold vals: [Quantity('14 uA'), Quantity('10 uA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_MAX4039EBLT,1.7 uA,Entity vals: [Quantity('4.1 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4039EBLT,3 uA,Entity vals: [Quantity('4.1 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4039EBLT,2.8 uA,Entity vals: [Quantity('4.1 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4039EBLT,800 nA,Entity vals: [Quantity('4.1 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4039EBLT,2 uA,Entity vals: [Quantity('4.1 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4039EBLT,1.9 uA,Entity vals: [Quantity('4.1 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_MAX4039EBLT,900 nA,Entity vals: [Quantity('4.1 uA')],Missing value.,,Bot
FP,MAXIMINTEGRATED_MAX4039EBLT,4.1 uA,"Gold vals: [Quantity('1.7 uA'), Quantity('3 uA'), Quantity('2.8 uA'), Quantity('800 nA'), Quantity('2 uA'), Quantity('1.9 uA'), Quantity('900 nA')]",Invalid value.,,Bot
FN,MAXIMINTEGRATED_ICL7621BCPA,1 mA,Entity vals: [Quantity('15 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_ICL7621BCPA,6 uA,Entity vals: [Quantity('15 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_ICL7621BCPA,100 uA,Entity vals: [Quantity('15 uA')],Missing value.,,Bot
FN,MAXIMINTEGRATED_ICL7621BCPA,10 uA,Entity vals: [Quantity('15 uA')],Missing value.,,Bot
FP,MAXIMINTEGRATED_ICL7621BCPA,15 uA,"Gold vals: [Quantity('1 mA'), Quantity('6 uA'), Quantity('100 uA'), Quantity('10 uA')]",Invalid value.,,Bot
FP,DIOOMICROCIRCUITS_DIO8358MP8,50 uA,Gold does not have doc DIOOMICROCIRCUITS_DIO8358MP8.,Gold is missing doc.,,Bot
FN,DIOOMICROCIRCUITS_DIO2362LSO8,7 uA,Entities do not have doc DIOOMICROCIRCUITS_DIO2362LSO8.,Missing doc.,,Bot
FN,DIOOMICROCIRCUITS_DIO2361AASC5,17 uA,Entities do not have doc DIOOMICROCIRCUITS_DIO2361AASC5.,Missing doc.,,Bot
FN,DIODESINCORPORATED_LMV324TSG-13,110 uA,Entity vals: [Quantity('340 uA')],Missing value.,,Bot
FN,DIODESINCORPORATED_LMV324TSG-13,190 uA,Entity vals: [Quantity('340 uA')],Missing value.,,Bot
FN,DIODESINCORPORATED_LM2902QT14-13,500 uA,Entity vals: [Quantity('1 mA')],Missing value.,,Bot
FN,DIODESINCORPORATED_LM2902QT14-13,700 uA,Entity vals: [Quantity('1 mA')],Missing value.,,Bot
FN,DIODESINCORPORATED_AP358SG-13,500 uA,Entity vals: [Quantity('1.2 mA')],Missing value.,,Bot
FN,DIODESINCORPORATED_AP358SG-13,1 mA,Entity vals: [Quantity('1.2 mA')],Missing value.,,Bot
FP,DIODESINCORPORATED_AP358SG-13,1.2 mA,"Gold vals: [Quantity('500 uA'), Quantity('1 mA')]",Invalid value.,,Bot
FN,ANALOGDEVICES_OP282ARMZ-REEL,210 uA,Entity vals: [Quantity('250 uA')],Missing value.,,Bot
FP,ANALOGDEVICES_OP282ARMZ-REEL,250 uA,Gold vals: [Quantity('210 uA')],Invalid value.,,Bot
FN,ANALOGDEVICES_OP281GSZ,3 uA,Entity vals: [Quantity('8 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_OP281GSZ,3.2 uA,Entity vals: [Quantity('8 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_OP281GSZ,3.3 uA,Entity vals: [Quantity('8 uA')],Missing value.,,Bot
FP,ANALOGDEVICES_OP281GSZ,8 uA,"Gold vals: [Quantity('3 uA'), Quantity('3.2 uA'), Quantity('3.3 uA')]",Invalid value.,,Bot
FN,ANALOGDEVICES_OP221GSZ-REEL7,550 uA,Entity vals: [Quantity('900 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_OP221GSZ-REEL7,850 uA,Entity vals: [Quantity('900 uA')],Missing value.,,Bot
FP,ANALOGDEVICES_OP221GSZ-REEL7,900 uA,"Gold vals: [Quantity('550 uA'), Quantity('850 uA')]",Invalid value.,,Bot
FN,ANALOGDEVICES_ADA4084-2ARZ,625 uA,Entity vals: [Quantity('595 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_ADA4084-2ARZ,565 uA,Entity vals: [Quantity('595 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_ADA4062-4ARUZ-RL,165 uA,Entity vals: [Quantity('880 uA')],Missing value.,,Bot
FP,ANALOGDEVICES_ADA4062-4ARUZ-RL,880 uA,Gold vals: [Quantity('165 uA')],Invalid value.,,Bot
FN,ANALOGDEVICES_AD8571ARZ-REEL7,750 uA,Entity vals: [Quantity('975 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_AD8571ARZ-REEL7,850 uA,Entity vals: [Quantity('975 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_AD8571ARZ-REEL7,950 uA,Entity vals: [Quantity('975 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_AD8571ARZ-REEL7,1 mA,Entity vals: [Quantity('975 uA')],Missing value.,,Bot
FP,ANALOGDEVICES_AD8571ARZ-REEL7,975 uA,"Gold vals: [Quantity('750 uA'), Quantity('850 uA'), Quantity('950 uA'), Quantity('1 mA')]",Invalid value.,,Bot
FN,ANALOGDEVICES_AD8544WARZ-R7,40 uA,Entity vals: [Quantity('260 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_AD8544WARZ-R7,45 uA,Entity vals: [Quantity('260 uA')],Missing value.,,Bot
FN,ANALOGDEVICES_AD8544WARZ-R7,38 uA,Entity vals: [Quantity('260 uA')],Missing value.,,Bot
FP,ANALOGDEVICES_AD8544WARZ-R7,260 uA,"Gold vals: [Quantity('40 uA'), Quantity('45 uA'), Quantity('38 uA')]",Invalid value.,,Bot
FN,ANALOGDEVICES_AD8529ARZ-REEL,600 uA,Entity vals: [Quantity('1.2 mA')],Missing value.,,Bot
FP,ANALOGDEVICES_AD8529ARZ-REEL,1.2 mA,Gold vals: [Quantity('600 uA')],Invalid value.,,Bot
FN,ANALOGDEVICES_AD8032ARZ-REEL,800 uA,Entity vals: [Quantity('3.2 mA')],Missing value.,,Bot
FN,ANALOGDEVICES_AD8032ARZ-REEL,750 uA,Entity vals: [Quantity('3.2 mA')],Missing value.,,Bot
